"item_name","sale_type","category","price","notes"
"GORDON'S GIN 30ML","30 ML","Shots","","Measured sale from 750ML source"
"GORDON'S GIN 750ML","bottle","Bottles","","Full bottle sale"
"Guarana","can","Bottled & Canned","","Direct resale item"
"GUINNESS CAN 500ML","can","Bottled & Canned","","Direct resale item"
"HEINEKEN BOTTLE 330ML","bottle","Bottled & Canned","","Direct resale item"
"HEINEKEN CAN 500ML","can","Bottled & Canned","","Direct resale item"
"HENNESSY 1000ML","bottle","Bottles","","Full bottle sale"
"HUMPTON 750ML","bottle","Bottles","","Full bottle sale"
"HUNTERS CHOICE 30ML","30 ML","Shots","","Measured sale from 750ML source"
"HUNTERS CHOICE 350ML","bottle","Bottled & Canned","","Direct resale item"
"HUNTERS CHOICE 750ML","bottle","Bottles","","Full bottle sale"
"HUNTERS DRY 330ML","bottle","Bottled & Canned","","Direct resale item"
"HUNTERS GOLD 330ML","bottle","Bottled & Canned","","Direct resale item"
"JACK DANIELS 1000ML","bottle","Bottles","","Full bottle sale"
"JACK DANIELS 30ML","30 ML","Shots","","Measured sale from 700ML source"
"JACK DANIELS 700ML","bottle","Bottles","","Full bottle sale"
"JAGERMEISTER 30ML","30 ML","Shots","","Measured sale from 750ML source"
"JAGERMEISTER 750ML","bottle","Bottles","","Full bottle sale"
"JAMESON 1000ML","bottle","Bottles","","Full bottle sale"
"JAMESON 30ML","30 ML","Shots","","Measured sale from 1000ML source"
"JOHN BARR 30ML","30 ML","Shots","","Measured sale from 750ML source"
"JOHN BARR 750ML","bottle","Bottles","","Full bottle sale"
"JOSE CUERVO GOLD 1000ML","bottle","Bottles","","Full bottle sale"
"JOSE CUERVO GOLD 30ML","30 ML","Shots","","Measured sale from 750ML source"
"JOSE CUERVO GOLD 750ML","bottle","Bottles","","Full bottle sale"
"JOSE CUERVO SILVER 30ML","30 ML","Shots","","Measured sale from 750ML source"
"JOSE CUERVO SILVER 750ML","bottle","Bottles","","Full bottle sale"
"KENYA CANE SMOOTH 30ML","30 ML","Shots","","Measured sale from 750ML source"
"KENYA CANE SMOOTH 750ML","bottle","Bottles","","Full bottle sale"
"KIBAO VODKA 250ML","bottle","Bottles","","Full bottle sale"
"KO","bottle","Bottled & Canned","","Direct resale item"
"KONYAGI 250ML","bottle","Bottles","","Full bottle sale"
"KONYAGI 30ML","30 ML","Shots","","Measured sale from 750ML source"
"KONYAGI 750ML","bottle","Bottles","","Full bottle sale"
"MALIBU 30ML","30 ML","Shots","","Measured sale from 750ML source"
"MALIBU 750ML","bottle","Bottles","","Full bottle sale"
"MANYATTA","bottle","Bottled & Canned","","Direct resale item"
"MARTELL 30ML","30 ML","Shots","","Measured sale from 750ML source"
"MARTELL 750ML","bottle","Bottles","","Full bottle sale"
"ORIJIN","bottle","Bottled & Canned","","Direct resale item"
"PREDATORS","bottle","Bottled & Canned","","Direct resale item"
"RED BULL","can","Bottled & Canned","","Direct resale item"
"RED DRY WINE 150ML","150 ML","Wines","","Measured wine sale from 750ML bottle"
"RED LABEL 1000ML","bottle","Bottles","","Full bottle sale"
"RED LABEL 30ML","30 ML","Shots","","Measured sale from 1000ML source"
"RED SWEET WINE 150ML","150 ML","Wines","","Measured wine sale from 750ML bottle"
"SAVANAH","bottle","Bottled & Canned","","Direct resale item"
"SHERIDAN'S 30ML","30 ML","Shots","","Measured sale from 750ML source"
"SHERIDAN'S 750ML","bottle","Bottles","","Full bottle sale"
"Smirnoff Punch","can","Bottled & Canned","","Direct resale item"
"SMIRNOFF VODKA 1000ML","bottle","Bottles","","Full bottle sale"
"SMIRNOFF VODKA 30ML","30 ML","Shots","","Measured sale from 750ML source"
"SMIRNOFF VODKA 350ML","bottle","Bottles","","Full bottle sale"
"SMIRNOFF VODKA 750ML","bottle","Bottles","","Full bottle sale"
"SODA","bottle","Bottled & Canned","","Direct resale item"
"TANQUERAY 1000ML","bottle","Bottles","","Full bottle sale"
"TANQUERAY 30ML","30 ML","Shots","","Measured sale from 1000ML source"
"TONIC WATER","bottle","Bottled & Canned","","Direct resale item"
"TUSKER CIDER CAN 500ML","can","Bottled & Canned","","Direct resale item"
"TUSKER LAGER CAN 500ML","can","Bottled & Canned","","Direct resale item"
"TUSKER LITE CAN 500ML","can","Bottled & Canned","","Direct resale item"
"TUSKER MALT CAN 500ML","can","Bottled & Canned","","Direct resale item"
"WHITE CAP CAN 500ML","can","Bottled & Canned","","Direct resale item"
"WHITE DRY WINE 150ML","150 ML","Wines","","Measured wine sale from 750ML bottle"
"WHITE SWEET WINE 150ML","150 ML","Wines","","Measured wine sale from 750ML bottle"
"WHITECUP CRISP","can","Bottled & Canned","","Direct resale item"
