item_name,sale_type,category,price,notes
Best Whiskey 750ML,bottle,Bottles,,Direct resale spirit bottle
Black & White 1000ML,bottle,Bottles,,Direct resale spirit bottle
Black & White 750ML,bottle,Bottles,,Direct resale spirit bottle
Black Label 1000ML,bottle,Bottles,,Direct resale spirit bottle
CAMINO CLEAR 750ML,bottle,Bottles,,Direct resale spirit bottle
Captain Morgan Gold,bottle,Bottles,,Direct resale spirit bottle
Captain Morgan Spice,bottle,Bottles,,Direct resale spirit bottle
COUNTY 750ML,bottle,Bottles,,Direct resale spirit bottle
Gilbeys 750,bottle,Bottles,,Direct resale spirit bottle
Gordon 1L,bottle,Bottles,,Direct resale spirit bottle
Gordons gin 750,bottle,Bottles,,Direct resale spirit bottle
Hennesey 1000ML,bottle,Bottles,,Direct resale spirit bottle
Humpton,bottle,Bottles,,Direct resale spirit bottle
HUNTERS CHOICE 750ML,bottle,Bottles,,Direct resale spirit bottle
JACK DANIELS 1000ML,bottle,Bottles,,Direct resale spirit bottle
JACK DANIELS 700ML,bottle,Bottles,,Direct resale spirit bottle
Jagermefter,bottle,Bottles,,Direct resale spirit bottle
Jagermefter 750 ml,bottle,Bottles,,Direct resale spirit bottle
JAMESON 1000ML,bottle,Bottles,,Direct resale spirit bottle
JOHN BARR,bottle,Bottles,,Direct resale spirit bottle
Jose Q Gold 1000ML,bottle,Bottles,,Direct resale spirit bottle
Jose Q Gold 750ML,bottle,Bottles,,Direct resale spirit bottle
Jose Q silver,bottle,Bottles,,Direct resale spirit bottle
KENYA CANE SMOOTH 750ML,bottle,Bottles,,Direct resale spirit bottle
Konyagi 750ML,bottle,Bottles,,Direct resale spirit bottle
Malibu,bottle,Bottles,,Direct resale spirit bottle
Martell,bottle,Bottles,,Direct resale spirit bottle
Red Label 1l,bottle,Bottles,,Direct resale spirit bottle
sheridans,bottle,Bottles,,Direct resale spirit bottle
Smirnorf 750,bottle,Bottles,,Direct resale spirit bottle
SMIRNORF VODKA 1000ML,bottle,Bottles,,Direct resale spirit bottle
TANQUAERAY 1L,bottle,Bottles,,Direct resale spirit bottle
BEST GIN,30 ML,Shots,,Measured spirit sale
BEST VODKA,30 ML,Shots,,Measured spirit sale
Best Whiskey,30 ML,Shots,,Measured spirit sale
Black & White,30 ML,Shots,,Measured spirit sale
Black Label,30 ML,Shots,,Measured spirit sale
CAMINO CLEAR,30 ML,Shots,,Measured spirit sale
Captain Morgan Gold,30 ML,Shots,,Measured spirit sale
Captain Morgan Spice,30 ML,Shots,,Measured spirit sale
COUNTY,30 ML,Shots,,Measured spirit sale
Gilbeys GIN,30 ML,Shots,,Measured spirit sale
Gordons gin 750,30 ML,Shots,,Measured spirit sale
HUNTERS CHOICE,30 ML,Shots,,Measured spirit sale
JACK DANIELS,30 ML,Shots,,Measured spirit sale
Jagermefter,30 ML,Shots,,Measured spirit sale
JAMESON,30 ML,Shots,,Measured spirit sale
JOHN BARR,30 ML,Shots,,Measured spirit sale
Jose Q Gold,30 ML,Shots,,Measured spirit sale
Jose Q silver,30 ML,Shots,,Measured spirit sale
KENYA CANE SMOOTH,30 ML,Shots,,Measured spirit sale
Konyagi,30 ML,Shots,,Measured spirit sale
Malibu,30 ML,Shots,,Measured spirit sale
Martell,30 ML,Shots,,Measured spirit sale
Red Label WHYSKEY,30 ML,Shots,,Measured spirit sale
sheridans,30 ML,Shots,,Measured spirit sale
SMIRNORF VODKA,30 ML,Shots,,Measured spirit sale
TANQUAERAY,30 ML,Shots,,Measured spirit sale
Red Dry Wine,150 ml,Glasses,,Measured wine sale
Red Sweet wine,150 ml,Glasses,,Measured wine sale
WHITE DRY Wine,150 ml,Glasses,,Measured wine sale
WHITE SWEET WINE,150 ml,Glasses,,Measured wine sale
