item_code,name,buy_unit,store_unit,conversion_factor,price,restaurant_id
BAR-HEN1,Hennesey 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-HUMP,Humpton,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-HC75,HUNTERS CHOICE 750ML,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-JD10,JACK DANIELS 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-JD70,JACK DANIELS 700ML,Bottle,ML,700,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-JAGR,Jagermefter,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-JG75,Jagermefter 750 ml,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-JM10,JAMESON 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-JBRR,JOHN BARR,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-JQ10,Jose Q Gold 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-JQ75,Jose Q Gold 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-JQSV,Jose Q silver,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-KC75,KENYA CANE SMOOTH 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-KN75,Konyagi 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-MALI,Malibu,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-MART,Martell,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-RL1L,Red Label 1l,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-SHER,sheridans,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-SM75,Smirnorf 750,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-SM10,SMIRNORF VODKA 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-TQ1L,TANQUAERAY 1L,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-RDWB,Red Dry Wine Bottle,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-RSWB,Red Sweet Wine Bottle,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-WDWB,White Dry Wine Bottle,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-WSWB,White Sweet Wine Bottle,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
